date,latitude,longitude,xco2_bias_corrected
2024-01-04,22.285528,70.77373,420.22647
2024-01-04,22.354723,69.85452,422.14505
2024-01-04,22.197758,69.73124,422.2066
2024-01-04,21.95781,71.372246,422.22113
2024-01-04,21.595478,73.028534,421.46387
2024-01-04,21.15017,72.84142,419.63495
2024-01-05,24.776924,87.842155,419.8806
2024-01-05,23.964378,91.68416,420.8332
2024-01-05,23.056314,88.577805,420.64914
2024-01-05,22.964825,88.52797,421.03412
2024-01-05,22.875984,88.47877,419.65872
2024-01-05,22.5725,88.42385,421.47516
2024-01-05,22.183126,87.63158,420.60114
2024-01-05,21.77262,86.843056,418.93478
2024-01-05,21.333542,86.03804,419.05762
2024-01-18,28.56808,77.08514,420.11212
2024-01-18,28.56789,77.18618,421.17554
2024-01-18,28.475502,77.08494,417.28934
2024-01-18,21.447422,76.480896,420.50348
2024-01-18,21.452147,76.48065,419.53714
2024-01-18,21.454731,76.479256,419.13336
2024-01-18,18.874407,75.95217,420.1779
2024-01-18,18.873587,75.95003,419.60495
2024-01-18,18.877722,75.948975,418.97433
2024-01-18,16.362782,75.41608,420.03262
2024-01-18,16.366682,75.41523,419.97803
2024-01-18,16.370552,75.4141,419.9661
2024-01-18,12.876242,79.69717,420.99722
2024-01-18,12.878706,79.6963,421.26877
2024-01-18,12.882248,79.6956,420.39154
2024-01-18,10.940974,76.77789,424.26053
2024-01-18,10.940656,76.77589,425.65112
2024-01-18,10.942874,76.77472,425.84247
2024-01-11,24.777006,87.842224,420.3169
2024-01-11,23.055328,88.577736,421.9574
2024-01-11,22.87487,88.47871,422.52887
2024-01-11,21.333649,86.03803,423.95895
2024-01-03,29.75309,80.00382,427.0587
2024-01-03,29.753458,79.75542,417.41486
2024-01-03,29.79678,79.47463,422.15692
2024-01-03,29.752575,79.25678,422.3328
2024-01-03,29.752989,79.00904,419.35657
2024-01-03,29.542645,79.39709,421.06726
2024-01-03,29.348667,80.00627,421.7382
2024-01-03,29.35903,79.46594,419.43063
2024-01-03,29.252214,79.75848,419.2593
2024-01-03,29.351553,79.00924,419.07166
2024-01-03,29.251867,79.25913,422.04663
2024-01-03,29.001337,80.008446,421.34872
2024-01-03,29.00014,79.758385,422.99124
2024-01-03,29.00174,79.45791,419.24435
2024-01-03,29.002048,79.258965,420.6379
2024-01-03,29.002089,79.00906,420.20212
2024-01-03,21.815247,81.52316,423.0023
2024-01-03,18.533474,79.37325,423.48773
2024-01-03,18.07972,79.0168,419.9264
2024-01-03,17.849062,78.83956,420.20367
2024-01-03,17.617931,78.66327,421.5886
2024-01-10,26.452227,93.92592,416.8929
2024-01-10,26.453808,93.92466,415.2675
2024-01-10,26.458773,93.923996,416.9895
2024-01-10,23.918846,93.38962,424.40518
2024-01-10,23.919605,93.38782,425.4586
2024-01-10,23.923285,93.3864,421.62808
2024-01-10,12.630741,93.07799,423.20346
2024-01-10,29.354937,77.26283,420.36118
2024-01-10,29.103176,77.511406,420.81464
2024-01-10,29.104235,77.26294,417.74136
2024-01-10,29.104074,77.014084,420.59857
2024-01-10,29.262234,75.9505,420.53983
2024-01-10,29.013615,77.16282,421.96658
2024-01-10,28.854002,77.263626,420.2306
2024-01-10,27.910097,75.6306,420.97794
2024-01-10,27.36003,75.266464,419.8218
2024-01-10,26.814753,74.9148,422.1901
2024-01-10,26.277422,74.57312,420.70493
2024-01-10,25.741577,74.2399,420.00266
2024-01-10,25.209095,73.91444,421.46027
2024-01-10,24.673725,73.59479,420.34695
2024-01-10,24.13358,73.279816,421.75714
2024-01-10,23.587156,72.97035,416.5669
2024-01-10,22.828901,70.89313,420.60037
2024-01-10,22.28571,70.77401,421.17255
2024-01-10,22.354275,69.85461,421.24426
2024-01-10,22.197498,69.731285,423.3737
2024-01-10,21.957914,71.37255,422.21185
2024-01-10,21.596697,73.0292,420.56705
2024-01-10,21.379946,73.50142,421.3198
2024-01-31,19.152025,73.05621,420.48798
